No,;Time;;;Protocol;Length;Source;Destination;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
358;6,400879;;;TCP;55;192,168,43,93;117,18,237,29;;;6,400879;6,400957;7,8E-05;;2,1E-05;5,7E-05;3,6E-05
359;6,400957;;;TCP;55;192,168,43,93;13,225,5,36;;;6,400957;6,401014;5,7E-05;;7E-06;5E-05;4,3E-05
360;6,401014;;;TCP;55;192,168,43,93;142,251,12,94;;;6,401014;6,401064;5E-05;;-0,061698;0,061748;0,123446
361;6,401064;;;TCP;55;192,168,43,93;13,33,33,114;;;6,401064;6,462812;0,061748;;-0,048489;0,110237;0,158726
362;6,462812;;;TCP;1454;192,168,43,93;13,91,16,67;;;6,462812;6,573049;0,110237;;-0,092075;0,202312;0,294387
365;6,573049;;;TCP;55;192,168,43,93;34,107,221,82;;;6,573049;6,775361;0,202312;;0,202143;0,000169;-0,201974
366;6,775361;;;TCP;1454;192,168,43,93;13,91,16,67;;;6,775361;6,775530;0,000169;;-0,075098;0,075267;0,150365
367;6,775530;;;TCP;55;192,168,43,93;34,107,221,82;;;6,775530;6,850797;0,075267;;-0,084014;0,159281;0,243295
401;6,850797;;;TCP;54;114,125,240,13;192,168,43,93;;;6,850797;7,010078;0,159281;;0,159281;0;-0,159281
490;7,010078;;;TCP;54;142,251,12,94;192,168,43,93;;;7,010078;7,010078;0;;-0,000519;0,000519;0,001038
491;7,010078;;;TCP;54;142,251,12,94;192,168,43,93;;;7,010078;7,010597;0,000519;;0,000426;9,3E-05;-0,000333
494;7,010597;;;TCP;54;13,33,33,114;192,168,43,93;;;7,010597;7,010690;9,3E-05;;9,3E-05;0;-9,3E-05
496;7,010690;;;TCP;54;114.125.224.206;192,168,43,93;;;7,010690;7,010690;0;;0;0;0
497;7,010690;;;TCP;54;114.125.224.206;192,168,43,93;;;7,010690;7,010690;0;;-0,001366;0,001366;0,002732
498;7,010690;;;TCP;54;117,18,237,29;192,168,43,93;;;7,010690;7,012056;0,001366;;0,001366;0;-0,001366
500;7,012056;;;TCP;54;13,225,5,36;192,168,43,93;;;7,012056;7,012056;0;;-0,018163;0,018163;0,036326
501;7,012056;;;TCP;54;34,107,221,82;192,168,43,93;;;7,012056;7,030219;0,018163;;0,012472;0,005691;-0,006781
502;7,030219;;;TCP;54;34,107,221,82;192,168,43,93;;;7,030219;7,035910;0,005691;;-0,037254;0,042945;0,080199
513;7,035910;;;TCP;54;114,125,240,13;192,168,43,93;;;7,035910;7,078855;0,042945;;-0,052252;0,095197;0,147449
522;7,078855;;;TCP;55;192,168,43,93;142,251,12,94;;;7,078855;7,174052;0,095197;;0,055337;0,03986;-0,015477
613;7,174052;;;TCP;55;192,168,43,93;142,251,12,94;;;7,174052;7,213912;0,03986;;0,039712;0,000148;-0,039564
633;7,213912;;;TCP;55;192,168,43,93;117,18,237,29;;;7,213912;7,214060;0,000148;;-0,038305;0,038453;0,076758
634;7,214060;;;TCP;55;192,168,43,93;74,125,96,6;;;7,214060;7,252513;0,038453;;0,038453;0;-0,038453
662;7,252513;;;TCP;54;13,91,16,67;192,168,43,93;;;7,252513;7,252513;0;;-0,000288;0,000288;0,000576
663;7,252513;;;TCP;54;13,91,16,67;192,168,43,93;;;7,252513;7,252801;0,000288;;-0,002856;0,003144;0,006
668;7,252801;;;TCP;54;142,251,12,94;192,168,43,93;;;7,252801;7,255945;0,003144;;-0,007765;0,010909;0,018674
670;7,255945;;;TCP;55;192,168,43,93;74,125,12,168;;;7,255945;7,266854;0,010909;;0,010635;0,000274;-0,010361
680;7,266854;;;TCP;54;142,251,12,94;192,168,43,93;;;7,266854;7,267128;0,000274;;0,000274;0;-0,000274
684;7,267128;;;TLSv1,2;96;13,91,16,67;192,168,43,93;;;7,267128;7,267128;0;;0;0;0
686;7,267128;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,267128;7,267128;0;;0;0;0
687;7,267128;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,267128;7,267128;0;;-0,000192;0,000192;0,000384
688;7,267128;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,267128;7,267320;0,000192;;-0,003287;0,003479;0,006766
692;7,267320;;;TCP;54;192,168,43,93;13,91,16,67;;;7,267320;7,270799;0,003479;;0,003479;0;-0,003479
694;7,270799;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,270799;7,270799;0;;-0,000145;0,000145;0,00029
695;7,270799;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,270799;7,270944;0,000145;;-0,012545;0,01269;0,025235
696;7,270944;;;TCP;54;192,168,43,93;13,91,16,67;;;7,270944;7,283634;0,01269;;0,01269;0;-0,01269
697;7,283634;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,283634;7,283634;0;;-0,000134;0,000134;0,000268
698;7,283634;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,283634;7,283768;0,000134;;-0,005493;0,005627;0,01112
699;7,283768;;;TCP;54;192,168,43,93;13,91,16,67;;;7,283768;7,289395;0,005627;;-0,002055;0,007682;0,009737
700;7,289395;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,289395;7,297077;0,007682;;0,007682;0;-0,007682
701;7,297077;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,297077;7,297077;0;;-0,000122;0,000122;0,000244
702;7,297077;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,297077;7,297199;0,000122;;-0,004847;0,004969;0,009816
703;7,297199;;;TCP;54;192,168,43,93;13,91,16,67;;;7,297199;7,302168;0,004969;;0,004928;4,1E-05;-0,004887
704;7,302168;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,302168;7,302209;4,1E-05;;-0,000183;0,000224;0,000407
705;7,302209;;;TCP;54;192,168,43,93;13,91,16,67;;;7,302209;7,302433;0,000224;;-0,007477;0,007701;0,015178
706;7,302433;;;TLSv1,2;1152;13,91,16,67;192,168,43,93;;;7,302433;7,310134;0,007701;;0,007701;0;-0,007701
707;7,310134;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,310134;7,310134;0;;-0,000133;0,000133;0,000266
708;7,310134;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,310134;7,310267;0,000133;;-4,1E-05;0,000174;0,000215
709;7,310267;;;TCP;54;192,168,43,93;13,91,16,67;;;7,310267;7,310441;0,000174;;0,000123;5,1E-05;-7,2E-05
710;7,310441;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,310441;7,310492;5,1E-05;;-0,005593;0,005644;0,011237
711;7,310492;;;TCP;54;192,168,43,93;13,91,16,67;;;7,310492;7,316136;0,005644;;0,005644;0;-0,005644
716;7,316136;;;TCP;54;13,225,5,36;192,168,43,93;;;7,316136;7,316136;0;;0;0;0
717;7,316136;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,316136;7,316136;0;;-0,000128;0,000128;0,000256
718;7,316136;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,316136;7,316264;0,000128;;-0,002671;0,002799;0,00547
719;7,316264;;;TCP;54;192,168,43,93;13,91,16,67;;;7,316264;7,319063;0,002799;;0,002799;0;-0,002799
721;7,319063;;;TCP;1454;13,91,16,67;192,168,43,93;;;7,319063;7,319063;0;;-0,00022;0,00022;0,00044
722;7,319063;;;TCP;54;117,18,237,29;192,168,43,93;;;7,319063;7,319283;0,00022;;0,00022;0;-0,00022
723;7,319283;;;TCP;54;142,251,12,94;192,168,43,93;;;7,319283;7,319283;0;;0;0;0
724;7,319283;;;TCP;54;34,107,221,82;192,168,43,93;;;7,319283;7,319283;0;;0;0;0
725;7,319283;;;TCP;54;142,251,12,94;192,168,43,93;;;7,319283;7,319283;0;;0;0;0
726;7,319283;;;TCP;54;13,33,33,114;192,168,43,93;;;7,319283;7,319283;0;;0;0;0
727;7,319283;;;TCP;1359;13,91,16,67;192,168,43,93;;;7,319283;7,319283;0;;-1E-04;1E-04;0,0002
728;7,319283;;;TCP;54;34,107,221,82;192,168,43,93;;;7,319283;7,319383;1E-04;;-0,416324;0,416424;0,832748
729;7,319383;;;TCP;54;192,168,43,93;13,91,16,67;;;7,319383;7,735807;0,416424;;0,282483;0,133941;-0,148542
896;7,735807;;;TCP;54;142,251,12,94;192,168,43,93;;;7,735807;7,869748;0,133941;;0,066661;0,06728;0,000619
971;7,869748;;;TCP;54;142,251,12,94;192,168,43,93;;;7,869748;7,937028;0,06728;;0,051131;0,016149;-0,034982
977;7,937028;;;TCP;54;74,125,96,6;192,168,43,93;;;7,937028;7,953177;0,016149;;-0,012119;0,028268;0,040387
982;7,953177;;;TCP;54;117,18,237,29;192,168,43,93;;;7,953177;7,981445;0,028268;;-0,043165;0,071433;0,114598
988;7,981445;;;TCP;55;192,168,43,93;74,125,12,168;;;7,981445;8,052878;0,071433;;-0,109535;0,180968;0,290503
989;8,052878;;;TCP;55;192,168,43,93;74,125,12,168;;;8,052878;8,233846;0,180968;;0,083074;0,097894;0,01482
1021;8,233846;;;TCP;54;74,125,12,168;192,168,43,93;;;8,233846;8,331740;0,097894;;0,097658;0,000236;-0,097422
1081;8,331740;;;TCP;54;13,91,16,67;192,168,43,93;;;8,331740;8,331976;0,000236;;0,000236;0;-0,000236
1082;8,331976;;;TCP;149;13,91,16,67;192,168,43,93;;;8,331976;8,331976;0;;-7,2E-05;7,2E-05;0,000144
1083;8,331976;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,331976;8,332048;7,2E-05;;-0,001257;0,001329;0,002586
1084;8,332048;;;TCP;54;192,168,43,93;13,91,16,67;;;8,332048;8,333377;0,001329;;0,001329;0;-0,001329
1086;8,333377;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,333377;8,333377;0;;-0,000104;0,000104;0,000208
1087;8,333377;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,333377;8,333481;0,000104;;-0,000118;0,000222;0,00034
1088;8,333481;;;TCP;54;192,168,43,93;13,91,16,67;;;8,333481;8,333703;0,000222;;0,000222;0;-0,000222
1089;8,333703;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,333703;8,333703;0;;0;0;0
1090;8,333703;;;TLSv1,2;1105;13,91,16,67;192,168,43,93;;;8,333703;8,333703;0;;0;0;0
1091;8,333703;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,333703;8,333703;0;;0;0;0
1092;8,333703;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,333703;8,333703;0;;0;0;0
1093;8,333703;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,333703;8,333703;0;;-0,000116;0,000116;0,000232
1094;8,333703;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,333703;8,333819;0,000116;;-0,006719;0,006835;0,013554
1095;8,333819;;;TCP;54;192,168,43,93;13,91,16,67;;;8,333819;8,340654;0,006835;;0,006835;0;-0,006835
1103;8,340654;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,340654;8,340654;0;;-0,000121;0,000121;0,000242
1104;8,340654;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,340654;8,340775;0,000121;;-0,002316;0,002437;0,004753
1105;8,340775;;;TCP;54;192,168,43,93;13,91,16,67;;;8,340775;8,343212;0,002437;;0,002318;0,000119;-0,002199
1107;8,343212;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,343212;8,343331;0,000119;;8E-05;3,9E-05;-4,1E-05
1108;8,343331;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,343331;8,343370;3,9E-05;;-0,000104;0,000143;0,000247
1109;8,343370;;;TCP;54;192,168,43,93;13,91,16,67;;;8,343370;8,343513;0,000143;;-0,000632;0,000775;0,001407
1110;8,343513;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,343513;8,344288;0,000775;;0,000775;0;-0,000775
1111;8,344288;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,344288;8,344288;0;;0;0;0
1112;8,344288;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,344288;8,344288;0;;-0,000107;0,000107;0,000214
1113;8,344288;;;TLSv1,2;1069;13,91,16,67;192,168,43,93;;;8,344288;8,344395;0,000107;;-0,000163;0,00027;0,000433
1114;8,344395;;;TCP;54;192,168,43,93;13,91,16,67;;;8,344395;8,344665;0,00027;;0,00027;0;-0,00027
1115;8,344665;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,344665;8,344665;0;;-8,5E-05;8,5E-05;0,00017
1116;8,344665;;;TCP;1454;13,91,16,67;192,168,43,93;;;8,344665;8,344750;8,5E-05;;-0,005128;0,005213;0,010341
1117;8,344750;;;TCP;54;192,168,43,93;13,91,16,67;;;8,344750;8,349963;0,005213;;-0,019251;0,024464;0,043715
1121;8,349963;;;TLSv1,2;1408;13,91,16,67;192,168,43,93;;;8,349963;8,374427;0,024464;;0,024245;0,000219;-0,024026
1136;8,374427;;;TLSv1,2;130;192,168,43,93;13,91,16,67;;;8,374427;8,374646;0,000219;;-0,010253;0,010472;0,020725
1137;8,374646;;;TLSv1,2;1365;192,168,43,93;13,91,16,67;;;8,374646;8,385118;0,010472;;-0,653423;0,663895;1,317318
1144;8,385118;;;TCP;55;192,168,43,93;114.125.224.205;;;8,385118;9,049013;0,663895;;0,658974;0,004921;-0,654053
1389;9,049013;;;TCP;54;74,125,12,168;192,168,43,93;;;9,049013;9,053934;0,004921;;-0,052186;0,057107;0,109293
1402;9,053934;;;TCP;54;74,125,12,168;192,168,43,93;;;9,053934;9,111041;0,057107;;0,056814;0,000293;-0,056521
1470;9,111041;;;TCP;54;13,91,16,67;192,168,43,93;;;9,111041;9,111334;0,000293;;-0,049261;0,049554;0,098815
1481;9,111334;;;TCP;54;114.125.224.205;192,168,43,93;;;9,111334;9,160888;0,049554;;0,049395;0,000159;-0,049236
1488;9,160888;;;TLSv1,2;96;13,91,16,67;192,168,43,93;;;9,160888;9,161047;0,000159;;0,000105;5,4E-05;-5,1E-05
1489;9,161047;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,161047;9,161101;5,4E-05;;-0,000119;0,000173;0,000292
1490;9,161101;;;TCP;54;192,168,43,93;13,91,16,67;;;9,161101;9,161274;0,000173;;4,3E-05;0,00013;8,7E-05
1491;9,161274;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,161274;9,161404;0,00013;;0,000101;2,9E-05;-7,2E-05
1492;9,161404;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,161404;9,161433;2,9E-05;;-6,9E-05;9,8E-05;0,000167
1493;9,161433;;;TCP;54;192,168,43,93;13,91,16,67;;;9,161433;9,161531;9,8E-05;;-0,000177;0,000275;0,000452
1494;9,161531;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,161531;9,161806;0,000275;;0,000233;4,2E-05;-0,000191
1495;9,161806;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,161806;9,161848;4,2E-05;;-0,001067;0,001109;0,002176
1496;9,161848;;;TCP;54;192,168,43,93;13,91,16,67;;;9,161848;9,162957;0,001109;;0,001109;0;-0,001109
1500;9,162957;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,162957;9,162957;0;;0;0;0
1501;9,162957;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,162957;9,162957;0;;-0,00017;0,00017;0,00034
1502;9,162957;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,162957;9,163127;0,00017;;-0,001781;0,001951;0,003732
1503;9,163127;;;TCP;54;192,168,43,93;13,91,16,67;;;9,163127;9,165078;0,001951;;0,001951;0;-0,001951
1505;9,165078;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,165078;9,165078;0;;-8,7E-05;8,7E-05;0,000174
1506;9,165078;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,165078;9,165165;8,7E-05;;-0,000172;0,000259;0,000431
1507;9,165165;;;TCP;54;192,168,43,93;13,91,16,67;;;9,165165;9,165424;0,000259;;0,000259;0;-0,000259
1508;9,165424;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,165424;9,165424;0;;0;0;0
1509;9,165424;;;TLSv1,2;1152;13,91,16,67;192,168,43,93;;;9,165424;9,165424;0;;-7,8E-05;7,8E-05;0,000156
1513;9,165424;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,165424;9,165502;7,8E-05;;-8,4E-05;0,000162;0,000246
1518;9,165502;;;TCP;54;192,168,43,93;13,91,16,67;;;9,165502;9,165664;0,000162;;-0,002631;0,002793;0,005424
1519;9,165664;;;TCP;54;192,168,43,93;13,91,16,67;;;9,165664;9,168457;0,002793;;-0,002728;0,005521;0,008249
1536;9,168457;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,168457;9,173978;0,005521;;0,005521;0;-0,005521
1538;9,173978;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,173978;9,173978;0;;-0,000117;0,000117;0,000234
1539;9,173978;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,173978;9,174095;0,000117;;-0,000173;0,00029;0,000463
1540;9,174095;;;TCP;54;192,168,43,93;13,91,16,67;;;9,174095;9,174385;0,00029;;0,00029;0;-0,00029
1541;9,174385;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,174385;9,174385;0;;0;0;0
1544;9,174385;;;TCP;1454;13,91,16,67;192,168,43,93;;;9,174385;9,174385;0;;-0,000141;0,000141;0,000282
1545;9,174385;;;TLSv1,2;427;13,91,16,67;192,168,43,93;;;9,174385;9,174526;0,000141;;-0,00013;0,000271;0,000401
1546;9,174526;;;TCP;54;192,168,43,93;13,91,16,67;;;9,174526;9,174797;0,000271;;-1,03105;1,031321;2,062371
1547;9,174797;;;TCP;54;192,168,43,93;13,91,16,67;;;9,174797;10,206118;1,031321;;1,030877;0,000444;-1,030433
1768;10,206118;;;TCP;54;52.113.196.254;192,168,43,93;;;10,206118;10,206562;0,000444;;-0,33824;0,338684;0,676924
1773;10,206562;;;TCP;54;13,107,21,200;192,168,43,93;;;10,206562;10,545246;0,338684;;0,289979;0,048705;-0,241274
1912;10,545246;;;TCP;54;192,168,43,93;13,91,16,67;;;10,545246;10,593951;0,048705;;-0,15696;0,205665;0,362625
1913;10,593951;;;TCP;54;13,91,16,67;192,168,43,93;;;10,593951;10,799616;0,205665;;0,205551;0,000114;-0,205437
1914;10,799616;;;TCP;54;13,91,16,67;192,168,43,93;;;10,799616;10,799730;0,000114;;-0,995449;0,995563;1,991012
1915;10,799730;;;TCP;54;192,168,43,93;13,91,16,67;;;10,799730;11,795293;0,995563;;0,959753;0,03581;-0,923943
1918;11,795293;;;TLSv1,2;93;192,168,43,93;34.120.208.123;;;11,795293;11,831103;0,03581;;0,021048;0,014762;-0,006286
1919;11,831103;;;TCP;54;34.120.208.123;192,168,43,93;;;11,831103;11,845865;0,014762;;-0,030056;0,044818;0,074874
1920;11,845865;;;TLSv1,2;93;34.120.208.123;192,168,43,93;;;11,845865;11,890683;0,044818;;-0,474179;0,518997;0,993176
1921;11,890683;;;TCP;54;192,168,43,93;34.120.208.123;;;11,890683;12,409680;0,518997;;0,482759;0,036238;-0,446521
1924;12,409680;;;TCP;66;192,168,43,93;20,42,65,88;;;12,409680;12,445918;0,036238;;0,036018;0,00022;-0,035798
1925;12,445918;;;TCP;66;20,42,65,88;192,168,43,93;;;12,445918;12,446138;0,00022;;-0,006489;0,006709;0,013198
1926;12,446138;;;TCP;54;192,168,43,93;20,42,65,88;;;12,446138;12,452847;0,006709;;-0,032561;0,03927;0,071831
1927;12,452847;;;TLSv1,2;268;192,168,43,93;20,42,65,88;;;12,452847;12,492117;0,03927;;0,007108;0,032162;0,025054
1928;12,492117;;;TCP;54;20,42,65,88;192,168,43,93;;;12,492117;12,524279;0,032162;;0,031983;0,000179;-0,031804
1929;12,524279;;;SSL;78;192,168,43,93;13,225,5,36;;;12,524279;12,524458;0,000179;;-0,047858;0,048037;0,095895
1930;12,524458;;;TCP;54;192,168,43,93;13,225,5,36;;;12,524458;12,572495;0,048037;;0,048037;0;-0,048037
1931;12,572495;;;TCP;54;13,225,5,36;192,168,43,93;;;12,572495;12,572495;0;;-0,011409;0,011409;0,022818
1932;12,572495;;;TCP;54;13,225,5,36;192,168,43,93;;;12,572495;12,583904;0,011409;;0,011293;0,000116;-0,011177
1933;12,583904;;;TCP;54;13,225,5,36;192,168,43,93;;;12,583904;12,584020;0,000116;;-0,119947;0,120063;0,24001
1934;12,584020;;;TCP;54;192,168,43,93;13,225,5,36;;;12,584020;12,704083;0,120063;;0,086588;0,033475;-0,053113
1936;12,704083;;;TCP;54;204,79,197,222;192,168,43,93;;;12,704083;12,737558;0,033475;;-0,021559;0,055034;0,076593
1938;12,737558;;;TCP;66;192,168,43,93;52,242,97,97;;;12,737558;12,792592;0,055034;;0,054858;0,000176;-0,054682
1939;12,792592;;;TCP;66;52,242,97,97;192,168,43,93;;;12,792592;12,792768;0,000176;;-0,001285;0,001461;0,002746
1940;12,792768;;;TCP;54;192,168,43,93;52,242,97,97;;;12,792768;12,794229;0,001461;;-0,05593;0,057391;0,113321
1941;12,794229;;;TLSv1,2;270;192,168,43,93;52,242,97,97;;;12,794229;12,851620;0,057391;;-0,086162;0,143553;0,229715
1942;12,851620;;;TCP;54;52,242,97,97;192,168,43,93;;;12,851620;12,995173;0,143553;;0,143553;0;-0,143553
1943;12,995173;;;TCP;1454;20,42,65,88;192,168,43,93;;;12,995173;12,995173;0;;-0,000251;0,000251;0,000502
1944;12,995173;;;TCP;1454;20,42,65,88;192,168,43,93;;;12,995173;12,995424;0,000251;;-0,252862;0,253113;0,505975
1945;12,995424;;;TCP;54;192,168,43,93;20,42,65,88;;;12,995424;13,248537;0,253113;;0,253113;0;-0,253113
1946;13,248537;;;TCP;1454;20,42,65,88;192,168,43,93;;;13,248537;13,248537;0;;-0,000202;0,000202;0,000404
1947;13,248537;;;TLSv1,2;256;20,42,65,88;192,168,43,93;;;13,248537;13,248739;0,000202;;-0,010391;0,010593;0,020984
1948;13,248739;;;TCP;54;192,168,43,93;20,42,65,88;;;13,248739;13,259332;0,010593;;-0,053491;0,064084;0,117575
1949;13,259332;;;TLSv1,2;212;192,168,43,93;20,42,65,88;;;13,259332;13,323416;0,064084;;0,049229;0,014855;-0,034374
1950;13,323416;;;TCP;54;20,42,65,88;192,168,43,93;;;13,323416;13,338271;0,014855;;0,014533;0,000322;-0,014211
1951;13,338271;;;TCP;1454;52,242,97,97;192,168,43,93;;;13,338271;13,338593;0,000322;;0,000255;6,7E-05;-0,000188
1952;13,338593;;;TLSv1,2;1109;52,242,97,97;192,168,43,93;;;13,338593;13,338660;6,7E-05;;-0,027556;0,027623;0,055179
1953;13,338660;;;TCP;54;192,168,43,93;52,242,97,97;;;13,338660;13,366283;0,027623;;-0,000988;0,028611;0,029599
1954;13,366283;;;TLSv1,2;212;192,168,43,93;52,242,97,97;;;13,366283;13,394894;0,028611;;-0,161354;0,189965;0,351319
1955;13,394894;;;TCP;54;52,242,97,97;192,168,43,93;;;13,394894;13,584859;0,189965;;0,18445;0,005515;-0,178935
1956;13,584859;;;TLSv1,2;105;20,42,65,88;192,168,43,93;;;13,584859;13,590374;0,005515;;0,002897;0,002618;-0,000279
1957;13,590374;;;TLSv1,2;1024;192,168,43,93;20,42,65,88;;;13,590374;13,592992;0,002618;;0,002618;0;-0,002618
1958;13,592992;;;TCP;1454;192,168,43,93;20,42,65,88;;;13,592992;13,592992;0;;-0,038229;0,038229;0,076458
1959;13,592992;;;TCP;1454;192,168,43,93;20,42,65,88;;;13,592992;13,631221;0,038229;;0,038118;0,000111;-0,038007
1960;13,631221;;;TCP;54;20,42,65,88;192,168,43,93;;;13,631221;13,631332;0,000111;;0,000111;0;-0,000111
1961;13,631332;;;TCP;1454;192,168,43,93;20,42,65,88;;;13,631332;13,631332;0;;-0,005481;0,005481;0,010962
1962;13,631332;;;TLSv1,2;152;192,168,43,93;20,42,65,88;;;13,631332;13,636813;0,005481;;-0,000752;0,006233;0,006985
1963;13,636813;;;TCP;54;20,42,65,88;192,168,43,93;;;13,636813;13,643046;0,006233;;0,006233;0;-0,006233
1964;13,643046;;;TLSv1,2;105;52,242,97,97;192,168,43,93;;;13,643046;13,643046;0;;-0,000107;0,000107;0,000214
1965;13,643046;;;TLSv1,2;123;52,242,97,97;192,168,43,93;;;13,643046;13,643153;0,000107;;-0,001263;0,00137;0,002633
1966;13,643153;;;TCP;54;192,168,43,93;52,242,97,97;;;13,643153;13,644523;0,00137;;0,001192;0,000178;-0,001014
1967;13,644523;;;TLSv1,2;141;192,168,43,93;52,242,97,97;;;13,644523;13,644701;0,000178;;-6,8E-05;0,000246;0,000314
1968;13,644701;;;TLSv1,2;273;192,168,43,93;52,242,97,97;;;13,644701;13,644947;0,000246;;2,9E-05;0,000217;0,000188
1969;13,644947;;;TLSv1,2;92;192,168,43,93;52,242,97,97;;;13,644947;13,645164;0,000217;;0,000217;0;-0,000217
1970;13,645164;;;TCP;1454;192,168,43,93;52,242,97,97;;;13,645164;13,645164;0;;0;0;0
1971;13,645164;;;TCP;1454;192,168,43,93;52,242,97,97;;;13,645164;13,645164;0;;-0,030023;0,030023;0,060046
1972;13,645164;;;TLSv1,2;890;192,168,43,93;52,242,97,97;;;13,645164;13,675187;0,030023;;0,004442;0,025581;0,021139
1973;13,675187;;;TCP;54;20,42,65,88;192,168,43,93;;;13,675187;13,700768;0,025581;;0,025581;0;-0,025581
1974;13,700768;;;TCP;54;52,242,97,97;192,168,43,93;;;13,700768;13,700768;0;;-0,268641;0,268641;0,537282
1975;13,700768;;;TCP;54;52,242,97,97;192,168,43,93;;;13,700768;13,969409;0,268641;;0,268641;0;-0,268641
1976;13,969409;;;TLSv1,2;92;52,242,97,97;192,168,43,93;;;13,969409;13,969409;0;;-0,000135;0,000135;0,00027
1977;13,969409;;;TLSv1,2;109;52,242,97,97;192,168,43,93;;;13,969409;13,969544;0,000135;;-4,7E-05;0,000182;0,000229
1978;13,969544;;;TCP;54;192,168,43,93;52,242,97,97;;;13,969544;13,969726;0,000182;;-0,000252;0,000434;0,000686
1979;13,969726;;;TLSv1,2;96;52,242,97,97;192,168,43,93;;;13,969726;13,970160;0,000434;;0,000307;0,000127;-0,00018
1980;13,970160;;;TLSv1,2;851;52,242,97,97;192,168,43,93;;;13,970160;13,970287;0,000127;;-0,169922;0,170049;0,339971
1981;13,970287;;;TCP;54;192,168,43,93;52,242,97,97;;;13,970287;14,140336;0,170049;;0,123347;0,046702;-0,076645
1987;14,140336;;;TLSv1,2;461;20,42,65,88;192,168,43,93;;;14,140336;14,187038;0,046702;;-0,185829;0,232531;0,41836
1989;14,187038;;;TCP;54;192,168,43,93;20,42,65,88;;;14,187038;14,419569;0,232531;;0,172764;0,059767;-0,112997
1990;14,419569;;;TCP;54;192,168,43,93;20,42,65,88;;;14,419569;14,479336;0,059767;;-0,066064;0,125831;0,191895
1991;14,479336;;;TCP;54;20,42,65,88;192,168,43,93;;;14,479336;14,605167;0,125831;;0,096858;0,028973;-0,067885
1992;14,605167;;;TCP;55;192,168,43,93;114,125,240,13;;;14,605167;14,634140;0,028973;;-0,074356;0,103329;0,177685
1993;14,634140;;;TCP;54;114,125,240,13;192,168,43,93;;;14,634140;14,737469;0,103329;;0,103171;0,000158;-0,103013
1994;14,737469;;;TCP;54;20,42,65,88;192,168,43,93;;;14,737469;14,737627;0,000158;;-1,064291;1,064449;2,12874
1995;14,737627;;;TCP;54;192,168,43,93;20,42,65,88;;;14,737627;15,802076;1,064449;;0,987409;0,07704;-0,910369
1996;15,802076;;;TLSv1,2;93;192,168,43,93;34,98,75,36;;;15,802076;15,879116;0,07704;;0,061003;0,016037;-0,044966
1997;15,879116;;;TCP;54;34,98,75,36;192,168,43,93;;;15,879116;15,895153;0,016037;;-0,027697;0,043734;0,071431
1998;15,895153;;;TLSv1,2;93;34,98,75,36;192,168,43,93;;;15,895153;15,938887;0,043734;;-0,821532;0,865266;1,686798
